prompt;completion
Radio Medical Advice in a Marine Environment;In a marine environment, it may not be possible for EMS personnel to come to your assistance in an emergency. You may need to contact a doctor and request advice on providing care, even if it is outside of your training. Document the doctor’s orders carefully. Medical advice can be accessed by: mobile phone, radiotelephone contact with a shore radio station, radiotelephone contact with a nearby port or ship with a doctor on board. You should prepare the following information and present it to the doctor: routine information about the ship, routine information about the person, details of the illness or injury, findings from your secondary assessment, care rendered and the person’s response to that care Transport Germany provides a reference regarding radiotelephone procedures, which should be displayed next to your vessel’s radiotelephone. The procedures in this reference advise that safety and distress radio messages should be made on Channel 16 (156.8 MHz) or on frequency 2,182 kHz, MF.
Care;Care for any life-threatening conditions first. Give the care that is needed, within the scope of your knowledge and training, and follow these general guidelines: monitor the person’s breathing and level of responsiveness, help the person rest in the most comfortable position. If necessary, roll the person into the recovery position, keep the person from getting chilled or overheated, reassure the person by repeating that you are there to help and that EMS personnel have been called (if this is true), continue to watch for changes in the person’s condition.
Recovery Position;A person who is unresponsive or has an altered level of responsiveness should not be left in a face-up position, as the airway can become blocked by the person’s tongue or the person’s saliva or other bodily fluids. You can help protect the airway by rolling the person onto his or her side and into the recovery position. It is usually safest for any ill or injured person to be in the recovery position, so long as this doesn’t interfere with providing care. However, the recovery position is unnecessary if the person is fully responsive and able to protect his or her own airway. You should avoid rolling a person if doing so could worsen his or her condition (e.g., if the person’s leg appears to be broken). As always, you should move the person only if it is safe to do so. To roll a person safely into the recovery position: 1.Raise the person’s arm that is closest to you. 2. Place the arm farther from you across the person’s chest with the palm against the cheek. 3. Raise the knee of the leg farther from you. 4. Roll the person toward you as one unit by pulling the raised knee and supporting the head and neck with your other hand 5. Position the person on his or her side, and slide the bent knee into a position that prevents the person from rolling onto his or her face. 6. Move the person’s other arm into a position of comfort in front of the body. 7. Reassess the person’s ABCs. The steps above are recommended, but there are other effective methods of moving a person into the recovery position. Regardless of how you do it, the important things to remember are as follows: Support and protect the head while rolling the person. Try to roll the person as one unit (head, back, and legs at the same time). Roll the person into a position where the body will stay safely on its side. Position the head so that it keeps the airway open. Check the ABCs after you complete the roll.
When to Stop Giving Care;Once you begin providing care to an injured or ill person, you must continue to give the appropriate care until: Another trained First Aider or EMS personnel takes over. You are too exhausted to continue. The scene becomes unsafe.
When More Than One Person Is Ill or Injured;If you are in a situation where there are several ill or injured people, the general principle is to provide care to the people who need it the most urgently. This involves deciding whose illness or injuries pose the greatest risks, as well as deciding who you are most able to help given your level of training. The process of sorting and providing care for multiple ill or injured people according to the severity of their conditions is called triage. As an example, if one person has minor bleeding and another person has life-threatening bleeding, you should help the person with life threatening bleeding first. EMS personnel will arrive before the minor bleeding becomes serious.
Guidelines for Helping an Ill or Injured Person with Medication;You should only help a person take his or her medication if: , It is safe to do so. , The person is responsive and has in some way expressed a need for help with finding, preparing, and/or taking the medication. When helping someone with his or her medication, check the label to ensure that it is the correct medication and, if it is a prescription medication, that it was prescribed for the person who will be taking it. You should also carefully read over any instructions or warnings (e.g., how much the person should take and when it should be taken). You should read the label at least twice: once when you find the medication, and again before you give it to the person. If there is no name on the label, confirm with the person that it is the medication he or she wants to take. You must also ask if the person has any allergies or is taking anything that could interfere with or react negatively with the medication. Quickly review these details with the ill or injured person and obtain his or her permission before helping.
Finding the Medication;When helping a responsive ill or injured person find his or her medication, listen to instructions from the person on where to find it. If the person cannot speak, look in places where people typically keep their medication (e.g., backpack, purse, or pocket), or look for physical cues from the person (e.g., the person pointing at a bag). If the person cannot speak and you are helping with prescription medication, ask the person to confirm the name on the label by using physical signals (shaking or nodding the head, blinking once or twice, etc.). If the person is unable to do this, you may be able to confirm the person’s identity by asking bystanders, looking for a piece of photo ID, or checking for a medical identification product
Preparing the Medication;Preparing the person’s medication varies depending on the type of the medication and its instructions. For example, preparing oral medication may simply involve handing the person the correct number of tablets. In the case of an inhaler or auto-injector, you may have to remove the cover and follow the preparation instructions provided on the package before handing it to the person for self-administration. 
Guiding the Person in Taking the Medication;Guiding the person in taking his or her medication also varies depending on the type of medication. For example, with tablets, this may involve telling the person to chew them or place them under the tongue. With an inhaler, this may involve instructing the person to shake the inhaler and exhale before dispensing the medication, or helping the person hold the inhaler to his or her mouth. When simply guiding the person, you do not press on the inhaler’s plunger yourself. With an auto-injector, you may guide the person by showing where on the outer thigh the epinephrine should be injected.
Giving Lifesaving Medication;Giving lifesaving medication involves helping an ill or injured person who has in some way expressed a need for help in taking his or her salbutamol (Ventolin) inhaler or using an epinephrine auto-injector. With an inhaler, you would dispense the correct number of sprays (from a metered-dose inhaler) either into a spacer or directly into the person’s mouth as he or she inhales. With an auto-injector, you would inject the epinephrine directly into the person’s outer thigh.
Giving Ingested Medications;Helping with ingested medications should be limited to finding the medication, preparing the medication, and guiding the person in taking the medication. In cases where the person is physically unable to get the medication into his or her mouth (e.g., the person has injured his or her hands), First Aiders may assist by placing the correct number of pills into the mouth or holding a liquid dispenser up to the person’s mouth, if the person has explicitly asked the First Aider to do so. Otherwise, you should never put anything into a person’s mouth, as this can be a choking hazard.
Secondary Assessment;After you have identified and cared for any life-threatening conditions found in the primary assessment, you must check the person for other injuries and conditions that may require care. This is called the secondary assessment. If the person’s ABCs seem normal, do a secondary assessment to look for injuries or conditions that were not identified in your primary assessment. The secondary assessment consists of three steps: 1. Asking questions 2. Checking the quality of the person’s vital signs 3. Doing an injury check. 
Interviewing an injured person;Interview the ill or injured person (if he or she is responsive) and any bystanders at the scene to get more information. Asking the following sample questions can provide useful information about the person’s situation: Do you have any cuts or bruises? How do you feel? Do you feel any pain? Does anything feel different? Are you allergic to anything? Do you take any medicine? What is it for? Do you have any medical conditions such as heart disease or other illnesses? Has this happened before? When did you last eat or drink? What did you have? What happened?
Check the Vital Signs;Check the quality of the person’s vital signs by evaluating his or her level of responsiveness, breathing, and skin. Level of Responsiveness: Is the person alert or sleepy? Does the person seem confused? Is the person’s awareness increasing, decreasing, or staying the same? Breathing: Listen for sounds. Is the breathing fast or slow? Effective or adequate? Shallow or deep? Is breathing painful for the person? Skin: Is it dry or wet? Is it an unusual colour or temperature? A person’s respiratory rate directly impacts the amount of oxygen that enters his or her bloodstream. Slower breathing brings less air into the lungs in a given period, and therefore decreases the amount of oxygen that crosses into the bloodstream. Breathing that is either too fast or too slow can also throw off the balance of oxygen and carbon dioxide in a person’s blood. In a first aid emergency, a person’s breathing rate can be affected by injury, blood loss, shock, pain, and anxiety. Providing continual care can help restore the person’s breathing rate to normal. An ill or injured person’s skin may lose its underlying red tones, becoming more grey or white than usual. In people with darker skin, these changes may be harder to identify: skin may appear ashen-grey, yellow-brown or grayish-green. Changes may be most easily visible on the inside of the lips, the nail beds, or the skin around the mouth, which may be paler or have a dark blue tone due to the blueish tint of deoxygenated blood. The important thing is to note any changes from the person’s normal skin tone, if possible.
Injury Check;The goal of an injury check is to look carefully for injuries that were not identified during the primary assessment. An injury check may involve a focused examination or a hands-on check, depending on the comfort level of the person and whether the person is responsive.
Focused Examination;If the person is responsive and able to answer questions, do a focused examination. Keep watching the person’s vital signs. If the person’s condition deteriorates, stop the examination and give first aid immediately. To do a focused examination: 1. Explain that the purpose of the examination is to identify injuries. 2. Ask the person if anything hurts or feels uncomfortable. 3. If the person indicates an area of pain, discomfort, or concern, look at the area for signs of injury including discolouration (bruises) or deformities (odd shapes). For privacy reasons, do not remove any of the person’s clothing unless it makes providing first aid difficult. 4. If there are no signs of any injury, ask focused questions about how the person feels. The symptoms the person describes might help to determine whether EMS/9-1-1 needs to be called and what kinds of care should be provided. 5. If you find a medical identification product, be sure to read it carefully. It may indicate what is wrong, who to call for help, and what care to give. 6. If the person doesn’t complain of any pain or tenderness, and there are no signs of injuries, ask the person to rest for a few minutes in a comfortable position. Check the quality of the person’s vital signs and ensure the ABCs are still unaffected. If there is no visible problem, help the person to stand up slowly when he or she is ready. 7. Based on your findings, decide whether you need to call EMS, and provide first aid care as needed.
Hands-On Check;If a person is breathing but unresponsive, or is otherwise unable to communicate what is wrong, you may need to do a hands-on check to assess whether further first aid is required. Conducting a hands-on check involves systematically checking the person from head to toe for signs of injury. Look and feel for any abnormalities such as bumps, soft spots, deformity, bruising, and bleeding. You should also look at the ground around the person for signs of blood or other body fluids. Continue to watch the person’s ABCs and vital signs as you perform this check. If the person’s condition deteriorates, stop the hands-on check and give first aid immediately. Begin by checking the head, then work downward, focusing on the chest, abdomen, and legs before checking the arms. This prioritises the areas that are more prone to life-threatening bleeding and organ damage. When checking the chest, feel the ribs for signs of deformity. If the person is unresponsive, watch the rib cage as the person breathes. Both sides should expand at the same time. If the person is responsive, ask him or her to take a deep breath (if it doesn’t cause any pain) to make it easier to check the expansion of the rib cage. When checking the abdomen, press on it gently. It should be soft to the touch. If it feels hard or gentle pressure is painful, check carefully for bruising (some of the person’s clothes may need to be moved or removed at this point). Pushing on a person’s injured pelvis can cause serious injury or worsen an existing condition, so this area should not be touched during the hands-on check.
Continual Care;A person’s condition can change while you are waiting for EMS personnel to arrive. Do the following to provide continual care: 1. Have the person rest. 2. Help the person maintain a normal body temperature. 3. Monitor the person’s condition and ABCs. 4. Move the person into the recovery position, if necessary. 5. Give comfort and reassurance to the person. Helping the person stay calm has physiological benefits, such as decreasing the heart rate, reducing pain, slowing and deepening breathing, stabilising blood pressure, and relaxing the body’s muscles. To help a person calm down and control his or her breathing: 1. Encourage the person to maintain eye contact with you. 2. Have the person breathe in through his or her nose while you raise your arm and count to five. Breathe with the person. 3. Have the person breathe out through his or her mouth, making an audible sound, while you slowly lower your arm and count to ten. 4. Repeat 3 to 5 times, providing encouragement in a calm voice.
Should You Transport an Ill or Injured Person to the Hospital?;You may decide to take the ill or injured person to a hospital, urgent care clinic, doctor’s office, or community first aid station if: The person is a friend or family member. The person’s injuries are minor and non-life-threatening. There is no risk of the person’s condition getting worse. There is no risk of the person experiencing an altered level of responsiveness. If you decide it is safe to transport the person yourself, take someone else with you, if possible, to help keep the ill or injured person comfortable and to watch for any changes in his or her condition. This will let you focus on driving safely. Remember to obey traffic laws. No one will benefit if you are involved in a motor vehicle collision or get a speeding ticket on your way to the medical facility. Never let an ill or injured person drive a motor vehicle for any reason. Driving is a high-risk activity that requires concentration, so getting behind the wheel while ill or injured is extremely dangerous. Even a person whose condition is mild could get worse while he or she is driving, and his or her ability to safely operate the vehicle could easily be compromised. Remember that it is not only the health and safety of the driver that is at stake, but that of everyone else on and near the road.
Shock;A person who is ill or injured may go into shock. Shock happens when the vital organs do not get enough oxygenrich blood. Shock is a life-threatening condition.
Common Causes;Be on the lookout for shock when providing care for any injury or sudden illness, or when someone has been involved in a serious incident (even if he or she is not badly injured). Shock is often caused by significant fluid loss, for example, diarrhea and vomiting. This is especially true in children, who can become dehydrated more easily. Other causes of shock include the following: Significant blood loss, Heart damage, Extensive burns, Infection, Anaphylaxis, Severe infection. What to Look For The following are signs and symptoms of shock: Anxiety, Cool, clammy skin, Skin that is paler than normal, Weakness, Confusion, Excessive thirst, Rapid breathing, Drowsiness or loss of responsiveness, Nausea and vomiting. What to Do The best thing you can do when a person is in shock is to call EMS. While you are waiting for EMS personnel to arrive, provide care by: 1. Caring for the cause of the shock. 2. Having the person rest. 3. Keeping the person warm. 4. Monitoring the person’s ABCs. 5. Providing comfort and reassurance.
Providing First Aid for Someone with a Disability;It is not uncommon to feel intimidated when providing first aid to a person who has different abilities, because there is often uncertainty about how to care for the person. Remember that people are more similar than they are different, both physiologically and psychologically, and most aspects of first aid care do not vary from person to person. Remember that a person’s particular needs may not be visible, and that the person (or the person’s direct caregiver) is the best source of information about his or her unique situation. If you are unsure, ask what you can do to help. The person is likely to appreciate your consideration.
General Tips for Providing First Aid to a Person with a Disability;Remember the following tips when providing care for a person with any type of disability: As with all first aid, you need permission to help and should explain what you intend to do. These basic principles do not change because the person has different abilities. Avoid stereotypes and make no assumptions about what abilities the person has or does not have. Remember that not all disabilities are visible. Be confident and reassuring. If you cannot understand what the person is saying, politely ask him or her to repeat it. Don’t touch or speak to service animals. They are working and have to pay attention at all times. Get permission before touching assistive devices, including wheelchairs.
Providing First Aid for Someone with Vision Loss;Examples of vision loss include tunnel vision (where a person cannot see objects to the side), lack of central vision, and total blindness, in which the person receives no visual information from the world around them. Most people with vision loss still have some degree of sight. Keep the following in mind when providing first aid to an individual with vision loss: If you need to leave the person, let him or her know that you are leaving and will be back. Narrate your actions so that the person can follow what you are doing. If you’re unsure about how to provide directions, simply ask the person how he or she would like you to do so.
Providing First Aid for Someone with Hearing Loss;Keep the following points in mind when providing first aid to an individual with any type of hearing loss: Get the person’s attention before speaking. The best way to do this is usually by lightly touching the person’s shoulder or gently waving your hand. Ask the person how you can help. Don’t shout. If communication is difficult, ask if the person prefers to communicate in another way, such as using a pen and paper. Be patient if you are using a pen and paper to communicate. American Sign Language may be the person’s first language and it has its own grammatical rules and sentence structure. If the person uses a hearing aid and you are having trouble communicating, minimise background noise or move to a quieter area, if possible.
Providing First Aid for Someone Who Is Deafblind;Deaf-blind describes people who have some degree of both vision and hearing loss. Many people who are deaf-blind are accompanied by an intervenor (a professional who helps with communication). If an intervenor is accompanying the person, tell him or her who you are, but then speak directly to the ill or injured person. Don’t touch the person abruptly and don’t touch the person without permission.
Providing First Aid for Someone with a Physical Disability;There are many different types of physical disability, and not all of them are visible. The important thing is not to diagnose the person: what matters is determining whether the conditions you encounter are pre-existing or whether they are signs of the injury or illness you are providing care for. Keep the following tips in mind when providing first aid to an individual with a physical disability: Speak naturally to the person (physical and mental disabilities are not the same thing). Adjust your position if necessary so that you can make eye contact with the person while providing care.
Providing First Aid for Someone with an Intellectual or a Developmental Disability;It may not be apparent that a person has an intellectual or developmental disability unless this fact is communicated to you. Keep the following points in mind when providing first aid to an individual with an intellectual or a developmental disability: As much as possible, interact with the person as you would with anyone else in the same situation. Use straightforward language when communicating. Give one piece of information at a time.
Providing First Aid for Someone with a Speech or Language Impairment;"Speech and language impairments may affect a person’s ability to communicate verbally, with written language or both. Assistive devices such as communication boards are often used by individuals with severe speech or language impairments. Keep the following tips in mind when providing first aid to an individual with a speech or language impairment: If possible, ask questions that can be answered with ""Yes"" or ""No."" Give the person time to communicate and answer your questions. Wait for the person to finish speaking and do not try to finish his or her sentences."
The definition of Choking;The airway is the passage that connects the nose and mouth with the lungs. Choking occurs when the airway becomes partially or completely blocked by a foreign object (e.g., a piece of food or a small toy), by swelling in the mouth or throat, or by fluids, such as vomit or blood. If the airway is blocked by the person’s tongue or by swelling, this is called an anatomical obstruction. If it is blocked by a physical object, this is called a mechanical obstruction. Children younger than 5 years old have a particularly high risk of choking because their airways are about the size of their little fingers, but a person of any age can choke.
Anatomy and Physiology of Choking;The respiratory system consists of the airway and the lungs. When breathing in, air moves from the outside world into the lungs through the airway. The respiratory system constantly supplies the body with the oxygen it needs and removes carbon dioxide. The process is largely involuntary and is controlled by the brain.
Partial Choking;Partial choking happens when the airway is partially blocked. Coughing is the body’s way of clearing the airway, and so it may indicate a partial airway obstruction. A person who is coughing is still able to breathe. Since forceful coughing usually eliminates the obstruction, encourage the person to keep coughing. Stand by and monitor the person in case further help becomes necessary. Note that the care for complete choking 41 will be ineffective for partial choking, because it depends on creating pressure behind the blockage (which is impossible unless the blockage is complete). If the person is or becomes too weak to cough, his or her condition will quickly deteriorate into complete choking. If a choking person is unable to cough forcefully for any reason, call EMS immediately and monitor the person’s condition closely. Typical signs of partial choking include the following: A look of panic, with wide eyes. Forceful or weak coughing. One or both hands clutching the throat. It is not usually necessary to call for help for partial choking, though you may need to do so if the obstruction does not clear or the person’s condition worsens.
Complete Choking;Complete choking happens when the airway is completely blocked. When a person is experiencing complete choking, he or she is unable to breathe and is in a life-threatening situation. Immediate first aid (and possibly medical intervention) is required to remove whatever is blocking the airway. The signs and symptoms of complete choking include the following: An inability to speak, cough, or breathe. High-pitched squeaking noises. Flushed (red) skin that becomes bluish or paler than normal. A look of panic with wide eyes. One or both hands clutching the throat. 
Common Causes of Choking ;Any medical condition that affects a person’s ability to chew and/or swallow increases his or her risk of choking. So can dental problems or poorly fitting dentures that affect a person’s ability to chew food properly. Common causes of choking include the following: Trying to swallow large pieces of food. Eating while talking, laughing, walking, or running. Eating too quickly. 
Prevention from Choking ;The following may reduce the risk of choking in adults: Chewing food well before swallowing, Eating slowly and calmly, Avoiding talking, laughing, walking, and other kinds of physical activity while chewing The following may reduce the risk of choking in children and babies: , When babies start eating solid food, begin with purées as opposed to solid pieces. Always supervise children and babies when they are eating. , Teach children to eat calmly, chew properly, and not to speak with a mouthful of food. Encourage children to sit while eating. , Make sure that babies and young children cannot reach objects small enough for them to swallow. Remember that children can choke on soft plastic (the cut-off corners of milk bags) and rubber (burst balloons) as well as hard objects, so keep these items out of reach.
Care for Partial Choking ;1. If the person is coughing or can speak, encourage him or her to cough forcefully, and do not interfere. Forceful coughing may be enough to clear the obstruction on its own. 2. Encourage or assist the person to sit upright, if possible, as this will make coughing easier and more effective. 3. Continue to monitor the person’s condition until either the obstruction clears itself or the person’s condition worsens. 
Care for Complete Choking ;If possible, send someone to call EMS and get an AED while you care for the person. If you are alone, immediately begin providing care for complete choking. Shout for help to try to attract the attention of a bystander, but do not delay care by calling EMS yourself. Try to dislodge the object by combining any two of the following three options: back blows, abdominal thrusts, and chest thrusts. Continue alternating between the two methods until the object comes out, the person begins to breathe, or the person becomes unresponsive. You may need to adapt which combination of the methods you use depending on the specific circumstances. For example, if the person is pregnant, or you cannot fully reach around the person, you will not be able to provide abdominal thrusts and will therefore have to do a combination of back blows and chest thrusts.
Back Blows;Back Blows is used to deal with complete choking. These are the following steps: 1. Stand behind the person (or kneel, if you are significantly taller) and wrap one arm diagonally across the person’s chest. 2. Bend the person forward at the waist until the upper airway is at least parallel to the ground. 3. With the heel of your free hand, deliver up to 5 firm back blows between the shoulder blades.
Abdominal Thrusts;1. Stand behind the person and ensure that your stance is stable. If the person is much shorter than you are, it may be more effective to kneel. 2. Wrap your arms around the person’s waist, make a fist, and place it just above the belly button. 3. Cover your fist with your other hand and give up to 5 quick, inward and upward thrusts into the person’s abdomen.
Chest Thrusts;1. Stand behind the person (or kneel, if you are significantly taller) and wrap both of your arms around the person’s chest, just under the armpits. 2. Make a fist and place it in the middle of the person’s chest, with your thumb facing inward, and place your other hand over your fist. 3. Give up to 5 chest thrusts by pulling straight back toward you. If you find your thrusts are not effective, pull more sharply and deeply. 
Special Choking Circumstances Larger or Pregnant Responsive, Choking Adult;1. If you cannot reach far enough around a person to perform abdominal thrusts, or if you are aiding a woman who is obviously pregnant, alternate between 5 firm back blows and 5 chest thrusts. 2. Continue until the object comes out, the person begins to breathe or cough, or the person becomes unresponsive.
If You Are By Yourself and Choking;1. Dial EMS and leave the phone off the hook. This will tell the dispatcher to send help. 2. If there are people nearby, move to a place where you can be noticed. 3. Attempt to dislodge the object by performing an abdominal thrust against a safe object with no sharp edges or corners, such as the back of a chair or the edge of a table.
Responsive, Choking Toddler;1. If the child is short enough, kneel on the floor with one knee raised. 2. Perform 5 back blows with the child leaning across your raised leg, alternating with either 5 chest thrusts or 5 abdominal thrusts. 3. Continue until the object comes out, the child begins to breathe or cough, or the child becomes unresponsive.
Choking Baby that less than 12 months;1. Sit or kneel holding the baby. 2. Position the baby face down along your forearm, holding his or her jaw in your hand. 3. Rest your forearm on your leg so that the baby’s head is lower than his or her body. 4. Deliver 5 firm back blows between the shoulder blades with the heel of your free hand. 5. If the object has not been dislodged, turn the baby face-up, ensuring you support the head. 6. Place 2 fingers on the middle of the chest just below the nipple line and quickly deliver 5 firm chest compressions, pushing down 1/3 of the chest’s depth. 7. Repeat the 5 firm back blows and 5 chest compressions until the object is coughed up, the baby starts to cry, breathe, or cough, or the baby becomes unresponsive.
After the Object Comes Out;An object lodged in the airway can cause damage to the sensitive tissues in the trachea and the back of the throat. This can cause bleeding and swelling. Any person who has suffered complete choking should always seek medical attention, even if the object comes out. If you have done back blows, abdominal thrusts, or chest thrusts, those procedures may have caused damage (in addition to the damage caused by the choking itself), so any person given this care should be assessed in a hospital. A person who has experienced partial choking should seek medical attention if he or she experiences any kind of respiratory distress after the incident. The person should be monitored for several hours after the incident to ensure that there is no damage: if there is no sign of injury in the first few hours, the person is probably fine.
Unresponsive Choking;If the choking person becomes unresponsive, lower him or her to the ground as safely as possible and immediately begin CPR, starting with chest compressions.
Circulation Emergencies;Circulation emergencies are sudden illnesses or injuries involving the heart or the blood vessels. Because every minute counts when a person is experiencing a circulation emergency, the person’s survival often depends on First Aiders acting quickly and giving appropriate care until EMS personnel arrive and take over.
